,Unnamed: 0,Unnamed: 0.1,Movie,Distributor,WW_gross,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Movie_link,movie,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Curacao,Cyprus,Czech Republic,Denmark,Dist,Dominican Republic,East & West Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Genre,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,MpaaRating,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,ProdBudget,Puerto Rico,Qatar,Romania,Runtime,Russia,Russia - CIS,Serbia & Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French-speaking),Switzerland (German-speaking),Switzerland (Italian-speaking),Taiwan,Thailand,Trinidad & Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,Uruguay,UsDist,UsRelease,Venezuela,Vietnam,West Indies,dummy,updatedGenre
33,33,33,Alvin and the Chipmunks: The Road Chip,Fox,234800000.0,85900000.0,36.6,148900000.0,63.4,/movies/?id=alvin4.htm,alvin4,2499323.0,,9690441.0,1375372.0,390744.0,2336186.0,435599.0,9733314.0,287772.0,,,1104928.0,9582624.0,676761.0,299609.0,,,1078914.0,2198420.0,Fox,,,,875027.0,,150539.0,,807980.0,10949003.0,1 hrs. 26 min.,6277763.0,,,1275513.0,451025.0,164143.0,239432.0,,,,6807266.0,,,,73986.0,,,350472.0,223202.0,1703820.0,7461267.0,,PG,4411437.0,1246533.0,,2532695.0,134719.0,,1723488.0,,2797131.0,974835.0,,,458015.0,201903.0,86.0,,3147988.0,164571.0,1839365.0,244158.0,329218.0,1218784.0,1713690.0,4689711.0,3095898.0,,499188.0,1264370.0,,363158.0,,,,1594659.0,264044.0,1731106.0,23908156.0,200052.0,"December 18, 2015",,367668.0,964094.0,,,
34,34,35,Ted 2,Uni.,216700000.0,81500000.0,37.6,135200000.0,62.4,/movies/?id=ted2.htm,ted2,1322174.0,,8506155.0,2038821.0,,2332200.0,150600.0,2371298.0,156906.0,,,420051.0,,458318.0,224713.0,,,676405.0,1025647.0,UPI,,,,354402.0,,270956.0,,931590.0,7615988.0,Comedy,10377039.0,,113202.0,3822790.0,,134495.0,,,,3000715.0,4201891.0,,20153761.0,64132.0,24696.0,,128990.0,101627.0,175060.0,931353.0,4105608.0,,R,3099805.0,889340.0,25378.0,,,,1071976.0,62587.0,1760572.0,1315130.0,68000000.0,,,567955.0,115.0,,6391928.0,123718.0,1241977.0,289370.0,141364.0,606706.0,1115399.0,4406648.0,1376928.0,,297433.0,1394650.0,,3939185.0,518775.0,,,137641.0,795438.0,587846.0,15248242.0,130337.0,Universal,2015-06-26,1405428.0,195591.0,,,Comedy
35,35,36,Tomorrowland,BV,209200000.0,93400000.0,44.7,115700000.0,55.3,/movies/?id=1952.htm,1952,1760538.0,,3397228.0,444682.0,70528.0,700466.0,151240.0,2784174.0,150631.0,,,734487.0,19240000.0,873302.0,55177.0,,,123651.0,603740.0,Disney,,,,840948.0,168374.0,60463.0,,,6535891.0,Sci-Fi,3162814.0,,283693.0,1860305.0,184818.0,46761.0,406983.0,,,351908.0,3415898.0,,10255853.0,47045.0,29558.0,,35778.0,156914.0,47922.0,1952169.0,5671204.0,,PG,811291.0,593547.0,42141.0,228891.0,89288.0,,1038299.0,2488622.0,1079509.0,539593.0,190000000.0,,155025.0,,130.0,,7164018.0,26438.0,1931395.0,75458.0,32040.0,216818.0,1804359.0,4845253.0,641267.0,,270539.0,359445.0,,2275297.0,1476090.0,,,,555540.0,,7740556.0,86279.0,Buena Vista,2015-05-22,1539781.0,590773.0,,,Sci-Fi
36,36,37,Everest (2015),Uni.,203400000.0,43500000.0,21.4,159900000.0,78.6,/movies/?id=everest2015.htm,everest2015,2445099.0,,7352404.0,1547719.0,,909628.0,255484.0,1837939.0,484926.0,,,649990.0,15446746.0,815252.0,151513.0,,,854460.0,569436.0,UIP,,,,667132.0,118024.0,272584.0,,527878.0,7050663.0,2 hrs. 1 min.,9361585.0,742102.0,991038.0,2317978.0,811224.0,691470.0,3063683.0,,3000000.0,1497241.0,5107872.0,,6133397.0,79463.0,47341.0,,203103.0,208829.0,225804.0,1525677.0,8232318.0,,PG-13,1377529.0,1555533.0,6759.0,1111048.0,54500.0,,1484490.0,964062.0,3074161.0,668418.0,55000000.0,,,802659.0,121.0,8800000.0,10483022.0,101224.0,1676596.0,332083.0,257396.0,408083.0,2692488.0,6575707.0,1465820.0,,735368.0,1468147.0,,3192262.0,606942.0,,,864771.0,1357145.0,1812752.0,15794142.0,79300.0,"September 18, 2015",,2538157.0,243624.0,,,
37,37,38,Straight Outta Compton,Uni.,201600000.0,161200000.0,79.9,40400000.0,20.1,/movies/?id=straightouttacompton.htm,straightouttacompton,,,8733790.0,269782.0,,285261.0,,92824.0,1652.0,,,,,,25123.0,,,36815.0,232046.0,UIP,,,,,,32860.0,,289950.0,3447640.0,Drama,5355084.0,,,,,119607.0,,,,130136.0,641650.0,,166982.0,,4676.0,,,6076.0,,,371425.0,,R,950508.0,789751.0,3253.0,469094.0,2703.0,,,10086.0,244462.0,,28000000.0,,,,147.0,,147425.0,,37674.0,3837.0,,134837.0,356286.0,213348.0,583296.0,,185937.0,972508.0,,250277.0,15296.0,,,,,128965.0,12216965.0,497.0,Universal,2015-08-14,,,,,Drama
38,38,39,The Intern,WB,194600000.0,75800000.0,38.9,118800000.0,61.1,/movies/?id=intern.htm,intern,1301285.0,,6722298.0,736034.0,,854260.0,34617.0,2258044.0,134937.0,,,307795.0,,606280.0,155334.0,,,223184.0,1842371.0,WB,,,,227618.0,,113210.0,,342561.0,2597353.0,Comedy,4953126.0,148374.0,479350.0,3936786.0,765922.0,58404.0,759132.0,,,1778538.0,2355374.0,,14015444.0,31969.0,15017.0,,101642.0,436365.0,22670.0,241912.0,5940670.0,,PG-13,1639265.0,619143.0,76222.0,,7881.0,,586717.0,462188.0,1050920.0,754647.0,35000000.0,,,474279.0,121.0,3000000.0,4434498.0,72767.0,1227995.0,209630.0,29687.0,521070.0,24069877.0,3463866.0,1008546.0,,284235.0,1142225.0,,7687807.0,713665.0,,,711593.0,494226.0,1582839.0,4121679.0,131656.0,Warner Bros.,2015-09-25,2866948.0,111779.0,,,Comedy
39,39,40,Jupiter Ascending,WB,184000000.0,47400000.0,25.8,136600000.0,74.2,/movies/?id=jupiterascending.htm,jupiterascending,,,4049140.0,644135.0,,840405.0,240779.0,4126103.0,489728.0,,,815544.0,44620000.0,,116661.0,,,314493.0,419248.0,Roadshow,,,,877104.0,,173402.0,,276549.0,5572135.0,2 hrs. 7 min.,4892483.0,,200782.0,923871.0,545271.0,52107.0,344331.0,,,262573.0,2196060.0,,1060714.0,47748.0,354394.0,,111434.0,153268.0,105846.0,2390940.0,3826366.0,,PG-13,1136300.0,907350.0,,206591.0,120225.0,,922045.0,,735302.0,651408.0,176000000.0,,,829349.0,127.0,,10023110.0,51550.0,700221.0,202937.0,15563.0,539001.0,2043766.0,2188763.0,527909.0,,,,,1920541.0,1158293.0,,,1020594.0,70253.0,1348850.0,6551281.0,52755.0,"February 6, 2015",,1420052.0,112.0,,,
40,40,41,Creed,WB,173600000.0,109800000.0,63.2,63800000.0,36.8,/movies/?id=creed.htm,creed,913820.0,,5000963.0,431949.0,,1119953.0,120941.0,2553084.0,77533.0,,,115430.0,,93887.0,39203.0,,,119880.0,398012.0,WB,,,,374379.0,,,,325265.0,11550543.0,Drama,3235490.0,,439060.0,113658.0,34626.0,42307.0,,,,322681.0,6041276.0,,361418.0,,10946.0,,14871.0,207266.0,15605.0,,2460699.0,,PG-13,871088.0,359634.0,,285289.0,6244.0,,263768.0,194536.0,376950.0,504531.0,35000000.0,,,170325.0,133.0,,795358.0,34222.0,329820.0,82591.0,19392.0,248686.0,,4100666.0,175793.0,,423576.0,716497.0,,,,,,159067.0,93157.0,1251418.0,8246569.0,25712.0,Warner Bros.,2015-11-25,,,,,Drama
41,41,42,Fantastic Four,Fox,168000000.0,56100000.0,33.4,111900000.0,66.6,/movies/?id=fantasticfour15.htm,fantasticfour15,1425574.0,,3874288.0,262929.0,169712.0,620524.0,481432.0,6198671.0,,,,627192.0,,1789580.0,71707.0,,,162888.0,361111.0,Fox,,,,1230258.0,159794.0,31504.0,5463.0,,8519677.0,Action / Adventure,1246451.0,,309260.0,1928060.0,,52888.0,1318908.0,,,451484.0,2080326.0,,2503040.0,65263.0,63886.0,,23251.0,126519.0,20667.0,2516590.0,10240076.0,,PG-13,723158.0,651152.0,51501.0,374239.0,124093.0,,2029806.0,2376426.0,442356.0,556428.0,120000000.0,,218791.0,,100.0,,,32217.0,2064184.0,55920.0,,439296.0,1959963.0,3758722.0,528925.0,,223463.0,120061.0,,1398783.0,1228942.0,,,1257819.0,337153.0,1448204.0,8878507.0,66484.0,Fox,2015-08-07,8043460.0,693412.0,,,Action
42,42,43,Bridge of Spies,BV,165500000.0,72300000.0,43.7,93200000.0,56.3,/movies/?id=coldwar2015.htm,coldwar2015,1291043.0,,5432428.0,289477.0,171871.0,1288159.0,48995.0,1851682.0,93852.0,,,224726.0,,109609.0,116421.0,,,276715.0,925491.0,Fox,,,,145922.0,,31519.0,4853.0,320675.0,6740265.0,Thriller,3878006.0,,914976.0,1343544.0,545110.0,33512.0,,,,1764598.0,12123245.0,,5517223.0,,22694.0,,57074.0,237624.0,92970.0,162411.0,1752608.0,,PG-13,1653385.0,764117.0,,962633.0,106992.0,,197370.0,379087.0,1222893.0,581409.0,40000000.0,,125413.0,550870.0,140.0,,2058944.0,107579.0,868191.0,4440.0,5923.0,267760.0,1746868.0,9783901.0,882675.0,,593973.0,480332.0,,1270978.0,209932.0,,,877302.0,281690.0,1194467.0,11044990.0,73211.0,Buena Vista,2015-10-16,,86398.0,,,Thriller
